modelsize,total_reruns_avg,total_reruns_std,success_reruns_avg,success_reruns_std,total_queries_avg,total_queries_std,unique_queries_avg,unique_queries_std,unique_prop_avg,unique_prop_std
1.5,0.8438,1.2326,0.7097,0.9966,2.1871,0.9954,2.1355,0.9164,0.9876,0.0633
3.0,0.1389,0.4505,0.1389,0.4505,3.3958,0.9221,3.1806,0.509,0.9609,0.1083
7.0,0.0,0.0,0.0,0.0,2.2431,0.827,2.2431,0.827,1.0,0.0
14.0,4.9653,0.4152,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
32.0,0.9028,1.3402,0.6934,0.9931,2.7372,0.5952,2.7372,0.5952,1.0,0.0
72.0,3.0556,2.0165,1.6265,1.4947,1.5542,0.8104,1.5542,0.8104,1.0,0.0
