size,prompt type,z-score
1.5,agentic,0.08286038560476981
1.5,agentic,0.5005788575688667
1.5,agentic,0.14608123006525064
1.5,agentic,0.1874749961200719
1.5,agentic,-0.14309895530814165
1.5,agentic,-0.1431719882949352
1.5,agentic,0.35432357552424887
1.5,agentic,0.7461757683815953
1.5,agentic,0.9059739984542868
1.5,agentic,0.4853015422969388
1.5,agentic,-0.6221997674220179
1.5,agentic,0.881607272025231
1.5,agentic,-0.6478008458232417
1.5,agentic,-0.04403104763298263
1.5,agentic,0.7357013871295724
1.5,agentic,-0.012484220156325727
1.5,zero-shot,1.0134462547044918
1.5,zero-shot,0.9534380909652964
1.5,zero-shot,0.6240749148365814
1.5,zero-shot,1.0299209002952256
1.5,zero-shot,0.7872835501066646
1.5,zero-shot,1.0779735092725797
1.5,zero-shot,0.3213524433326084
1.5,zero-shot,0.6809363569383957
1.5,zero-shot,1.0412818034182387
1.5,zero-shot,1.0181120187437152
1.5,zero-shot,0.7593500728958162
1.5,zero-shot,0.6697828513355817
1.5,zero-shot,0.9197489236737907
1.5,zero-shot,0.9462182277047092
1.5,zero-shot,0.8086889956338105
1.5,zero-shot,0.9432043573279127
1.5,few-shot,0.834487433723776
1.5,few-shot,0.8140967883817795
1.5,few-shot,0.47699993490694115
1.5,few-shot,0.9051140996766844
1.5,few-shot,0.7528249387950052
1.5,few-shot,0.9129538474391317
1.5,few-shot,0.38729470771588925
1.5,few-shot,0.6809363569383957
1.5,few-shot,0.8383200959723108
1.5,few-shot,0.8516087448540975
1.5,few-shot,0.5205636807421166
1.5,few-shot,0.7403909915654648
1.5,few-shot,0.9197489236737907
1.5,few-shot,0.9803647544404916
1.5,few-shot,0.6789332471818318
1.5,few-shot,0.7839229277472063
1.5,parallel,-0.024514906983659695
1.5,parallel,0.18706092675595395
1.5,parallel,-0.9937498643894611
1.5,parallel,-0.1245420054262813
1.5,parallel,0.06365271256181533
1.5,parallel,0.4178948619387879
1.5,parallel,-0.041330010775436535
1.5,parallel,0.32211959400079804
1.5,parallel,-0.9206813685590642
1.5,parallel,-0.48041744626284355
1.5,parallel,-0.8439299887075962
1.5,parallel,-0.9542043739517305
1.5,parallel,0.15265010030290252
1.5,parallel,-0.6245220021412846
1.5,parallel,-0.32667380332100276
1.5,parallel,0.21050978125666323
1.5,chain-of-thought,0.9060709621160624
1.5,chain-of-thought,0.4309082062771083
1.5,chain-of-thought,0.403462444942121
1.5,chain-of-thought,0.7179038987488724
1.5,chain-of-thought,0.5805318822367077
1.5,chain-of-thought,0.7809381179723734
1.5,chain-of-thought,0.48620810429081057
1.5,chain-of-thought,0.6809363569383957
1.5,chain-of-thought,0.8044931447313228
1.5,chain-of-thought,0.6185041614086328
1.5,chain-of-thought,0.3841143137971452
1.5,chain-of-thought,0.810999131795348
1.5,chain-of-thought,0.8196925554080228
1.5,chain-of-thought,0.7413390672900143
1.5,chain-of-thought,0.7762500585208159
1.5,chain-of-thought,0.9113480714117714
3.0,agentic,0.36919449917391506
3.0,agentic,-0.40513960922399245
3.0,agentic,0.30234839624049337
3.0,agentic,0.06266819550153063
3.0,agentic,-0.005264510061503679
3.0,agentic,0.18686733537196076
3.0,agentic,0.4862081042908107
3.0,agentic,-0.16717599182319884
3.0,agentic,0.5677044860444069
3.0,agentic,0.41870023274109175
3.0,agentic,0.35000197206090244
3.0,agentic,-0.2481229716528991
3.0,agentic,0.4528192051002067
3.0,agentic,-0.009884520897200143
3.0,agentic,0.35454387605188514
3.0,agentic,0.4335037826696522
3.0,zero-shot,-0.060306671179802845
3.0,zero-shot,0.15222560111007477
3.0,zero-shot,-0.18483747477643991
3.0,zero-shot,0.12507159581080127
3.0,zero-shot,0.27040438043177223
3.0,zero-shot,0.3848909295720983
3.0,zero-shot,0.12352565018276573
3.0,zero-shot,0.22426047683599867
3.0,zero-shot,0.16178107115255114
3.0,zero-shot,0.0856936849618564
3.0,zero-shot,0.11121557990720271
3.0,zero-shot,0.10491772949651659
3.0,zero-shot,0.15265010030290255
3.0,zero-shot,0.22914116625327718
3.0,zero-shot,0.12747131626092256
3.0,zero-shot,0.43350378266965217
3.0,few-shot,0.2618192065854855
3.0,few-shot,0.3960728806312291
3.0,few-shot,0.21961872003007077
3.0,few-shot,0.686702198594237
3.0,few-shot,0.47715604830172925
3.0,few-shot,0.3848909295720983
3.0,few-shot,0.35432357552424887
3.0,few-shot,0.4199787111655974
3.0,few-shot,0.5338775348034189
3.0,few-shot,0.4187002327410917
3.0,few-shot,0.28177728858841683
3.0,few-shot,0.3520462203011076
3.0,few-shot,0.5195234506107186
3.0,few-shot,0.570606433611102
3.0,few-shot,0.4518606873908692
3.0,few-shot,0.3697912108373696
3.0,parallel,0.5123615559584876
3.0,parallel,0.1870609267559539
3.0,parallel,0.10931248508284057
3.0,parallel,0.1562732959654366
3.0,parallel,0.4426974369900697
3.0,parallel,0.28587913247202956
3.0,parallel,0.3213524433326084
3.0,parallel,0.35473929972239776
3.0,parallel,0.36474277859847903
3.0,parallel,0.5519028518527858
3.0,parallel,0.247664946852174
3.0,parallel,0.28143808007122445
3.0,parallel,0.21935434581341454
3.0,parallel,0.33158074646062463
3.0,parallel,0.32210493893889053
3.0,parallel,0.529072640418076
3.0,chain-of-thought,0.2618192065854855
3.0,chain-of-thought,0.36123755498534993
3.0,chain-of-thought,0.0725437401004305
3.0,chain-of-thought,0.686702198594237
3.0,chain-of-thought,0.5460732709250481
3.0,chain-of-thought,0.35188699720540867
3.0,chain-of-thought,0.1564967823744062
3.0,chain-of-thought,0.4525984168871972
3.0,chain-of-thought,0.5677044860444069
3.0,chain-of-thought,0.2521969588514741
3.0,chain-of-thought,-0.09345847051025419
3.0,chain-of-thought,0.35204622030110755
3.0,chain-of-thought,0.6529319416317427
3.0,chain-of-thought,1.4925626554772284
3.0,chain-of-thought,0.2572270647129012
3.0,chain-of-thought,0.9432043573279127
7.0,agentic,0.11865214980091296
7.0,agentic,-0.12645700405695884
7.0,agentic,0.07254374010043055
7.0,agentic,0.6242987982849664
7.0,agentic,0.0636527125618153
7.0,agentic,-0.1761759206616248
7.0,agentic,-0.1732145395419983
7.0,agentic,0.061161948227999696
7.0,agentic,0.22943497363452714
7.0,agentic,-0.3139141723732259
7.0,agentic,0.04299089643471708
7.0,agentic,-0.0009944808483080979
7.0,agentic,0.25270646856867063
7.0,agentic,0.16084811278171224
7.0,agentic,-0.16447911775602944
7.0,agentic,0.0512283516759568
7.0,zero-shot,0.6555286127430603
7.0,zero-shot,0.6747554857982627
7.0,zero-shot,0.10931248508284055
7.0,zero-shot,0.7491055989035078
7.0,zero-shot,0.37378021436675074
7.0,zero-shot,0.35188699720540867
7.0,zero-shot,0.02461225360784436
7.0,zero-shot,0.4525984168871972
7.0,zero-shot,0.36474277859847903
7.0,zero-shot,-0.014208279371914144
7.0,zero-shot,-0.09345847051025419
7.0,zero-shot,0.316742150186166
7.0,zero-shot,0.4861713278554627
7.0,zero-shot,0.3998737999321895
7.0,zero-shot,0.09503237914792789
7.0,zero-shot,0.6246414981664999
7.0,few-shot,0.04706862140862664
7.0,few-shot,-0.5444809118075091
7.0,few-shot,-0.3686811996884902
7.0,few-shot,0.3746851970478839
7.0,few-shot,-0.10864034399648212
7.0,few-shot,-0.30819165012838323
7.0,few-shot,-0.07430114296707699
7.0,few-shot,0.1590210653927991
7.0,few-shot,-0.27796929498029266
7.0,few-shot,-0.5470187558186905
7.0,few-shot,-0.22990783745522542
7.0,few-shot,-0.07160262107819121
7.0,few-shot,-0.44768810929170566
7.0,few-shot,-0.7611081090844146
7.0,few-shot,-0.0671623064170454
7.0,few-shot,0.4335037826696522
7.0,parallel,0.22602744238934244
7.0,parallel,-0.12645700405695884
7.0,parallel,-0.22160621975884995
7.0,parallel,0.1562732959654366
7.0,parallel,0.33932160305509124
7.0,parallel,0.2528752001053399
7.0,parallel,0.09055451799112525
7.0,parallel,-0.03669716893679967
7.0,parallel,-0.44710405118523255
7.0,parallel,-0.34721482715114943
7.0,parallel,-0.1616831539827398
7.0,parallel,-0.49525146245749
7.0,parallel,-0.2475753727601696
7.0,parallel,-0.5220824219339373
