size,prompt type,z-score
7.0,zero-shot,0.1671422167404586
7.0,zero-shot,0.35441159172516645
7.0,zero-shot,0.6193780604809449
7.0,zero-shot,0.07034558044020794
7.0,zero-shot,0.6243512620117666
7.0,zero-shot,0.41734935425216646
7.0,zero-shot,1.02718101585336
7.0,zero-shot,0.3127840575349978
7.0,zero-shot,-0.1303271842610757
7.0,few-shot,-0.6445421733053933
7.0,few-shot,-0.08517450211395648
7.0,few-shot,-0.29307352312349816
7.0,few-shot,-0.2643166317590999
7.0,few-shot,0.12126899113963407
7.0,few-shot,0.03512753228021593
7.0,few-shot,0.05390961313451604
7.0,few-shot,-0.21554834084719135
7.0,few-shot,-0.38125083795506004
7.0,parallel,-0.7981040849356895
7.0,parallel,0.06868063072973656
7.0,parallel,0.2798611921630126
7.0,parallel,-0.9139550436754033
7.0,parallel,0.15996762736056735
7.0,parallel,0.035127532280215916
7.0,parallel,0.4347549446331941
7.0,parallel,0.515988826143532
7.0,parallel,-0.4648920558530548
7.0,chain-of-thought,0.03551772105734747
7.0,chain-of-thought,0.44232881049299105
7.0,chain-of-thought,0.6405978647508157
7.0,chain-of-thought,0.0506595679578957
7.0,chain-of-thought,0.5469539895699
7.0,chain-of-thought,0.41734935425216646
7.0,chain-of-thought,1.0906552377698064
7.0,chain-of-thought,0.43470691870011835
7.0,chain-of-thought,-0.5694435782255483
32.0,agentic,-0.13998160652013397
32.0,agentic,0.3793214703760501
32.0,agentic,0.06766314946430493
32.0,agentic,-0.9139550436754033
32.0,agentic,-0.16897078051736542
32.0,agentic,-0.6565856435151763
32.0,agentic,1.3558364315540712
32.0,agentic,0.8614369327780403
32.0,agentic,-0.5067126648020522
32.0,zero-shot,-0.05223194273139324
32.0,zero-shot,0.3324322870332103
32.0,zero-shot,0.513279039131591
32.0,zero-shot,-0.20525859431216323
32.0,zero-shot,0.08257035491870082
32.0,zero-shot,0.5179340442447851
32.0,zero-shot,1.0483390898255087
32.0,zero-shot,0.3534250112567046
32.0,zero-shot,-0.15123748873557438
32.0,few-shot,-0.00835711083702289
32.0,few-shot,0.13461854480560498
32.0,few-shot,0.2162017793534003
32.0,few-shot,-0.14620055686522654
32.0,few-shot,0.2567142179129005
32.0,few-shot,0.6386356722359273
32.0,few-shot,0.9002325720204674
32.0,few-shot,0.29246358067414435
32.0,few-shot,-0.5485332737510497
32.0,parallel,-0.030294526784208072
32.0,parallel,0.7720183808723332
32.0,parallel,-0.08087548042479048
32.0,parallel,-0.4611767565822222
32.0,parallel,0.3534608084652337
32.0,parallel,0.5581679202418325
32.0,parallel,0.6040195364103844
32.0,parallel,0.5972707335869457
32.0,parallel,-0.1930580976845718
32.0,chain-of-thought,0.1671422167404586
32.0,chain-of-thought,0.5302460292608157
32.0,chain-of-thought,0.789136494639911
32.0,chain-of-thought,0.011287542993271251
32.0,chain-of-thought,0.3921594446861669
32.0,chain-of-thought,0.8196881142226408
32.0,chain-of-thought,1.1752875336584014
32.0,chain-of-thought,0.5972707335869457
32.0,chain-of-thought,-0.08850657531207828
72.0,agentic,0.34264154431794
72.0,agentic,0.6570497101759473
72.0,agentic,0.6163466598709633
72.0,agentic,0.26720570526333015
72.0,agentic,0.3147621722443004
72.0,agentic,-0.4007394576877979
72.0,agentic,1.1752875336584014
72.0,agentic,0.7449328654424806
72.0,agentic,-0.31553273817806415
72.0,zero-shot,0.2768292964763845
72.0,zero-shot,0.3324322870332103
72.0,zero-shot,0.9376751245290064
72.0,zero-shot,0.30657773022795465
72.0,zero-shot,0.2954128541338338
72.0,zero-shot,0.7593373002270696
72.0,zero-shot,0.9637067939369137
72.0,zero-shot,0.4143864418392649
72.0,zero-shot,0.05786555600941255
72.0,few-shot,-0.11804419057294882
72.0,few-shot,0.3324322870332103
72.0,few-shot,0.7254770818302987
72.0,few-shot,0.4443798176041402
72.0,few-shot,0.37281012657570034
72.0,few-shot,0.7794542382255933
72.0,few-shot,0.836758350104021
72.0,few-shot,0.515988826143532
72.0,few-shot,-0.004865357414083511
72.0,parallel,0.10132996889890301
72.0,parallel,0.6621218574125525
72.0,parallel,0.32230080070275413
72.0,parallel,0.2278336802987057
72.0,parallel,0.23736489980243386
72.0,parallel,0.5782848582403562
72.0,parallel,0.730967980243277
72.0,parallel,0.3534250112567046
72.0,parallel,-0.27669931558256655
72.0,chain-of-thought,0.08524253053763388
72.0,chain-of-thought,0.5082667245688595
72.0,chain-of-thought,1.0862137544181019
72.0,chain-of-thought,0.1294036178871446
72.0,chain-of-thought,0.2567142179129005
72.0,chain-of-thought,0.9806236182108304
72.0,chain-of-thought,1.1752875336584014
72.0,chain-of-thought,0.45502739556097177
72.0,chain-of-thought,0.07877586048391123
